https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOG
1649250000000,2022-04-06 13:00:00,DOG/USD,153730,156610,144550,144650,217.29612300000002,0.00150222
1649246400000,2022-04-06 12:00:00,DOG/USD,153650,154280,150880,153390,118.1425119,0.00077021
1649242800000,2022-04-06 11:00:00,DOG/USD,154820,155760,149190,153660,120.92427359999999,0.00078696
1649239200000,2022-04-06 10:00:00,DOG/USD,157900,159690,149320,156130,530.9091359,0.00340043
1649235600000,2022-04-06 09:00:00,DOG/USD,164670,164670,154910,154910,148.5617882,0.00095902
1649232000000,2022-04-06 08:00:00,DOG/USD,162060,164640,156240,157280,127.9504256,0.00081352
1649228400000,2022-04-06 07:00:00,DOG/USD,163430,168130,158950,158950,299.735194,0.00188572
1649224800000,2022-04-06 06:00:00,DOG/USD,162830,165410,158890,163420,146.7168418,0.00089779
1649221200000,2022-04-06 05:00:00,DOG/USD,163200,165460,156830,158790,139.30329120000002,0.00087728
1649217600000,2022-04-06 04:00:00,DOG/USD,163000,163460,155810,163460,140.371275,0.00085875
1649214000000,2022-04-06 03:00:00,DOG/USD,161780,162650,155640,161090,139.5232708,0.00086612
1649210400000,2022-04-06 02:00:00,DOG/USD,161000,163840,153470,161790,131.4608466,0.00081254
1649206800000,2022-04-06 01:00:00,DOG/USD,167050,167560,157840,157960,554.0857696,0.00350776
1649203200000,2022-04-06 00:00:00,DOG/USD,173010,175600,157650,165690,254.78979750000002,0.00153775
1649199600000,2022-04-05 23:00:00,DOG/USD,171510,176850,163800,174090,145.1022741,0.00083349
1649196000000,2022-04-05 22:00:00,DOG/USD,167900,171490,161880,171150,891.7086150000001,0.0052101000000000005
1649192400000,2022-04-05 21:00:00,DOG/USD,164890,167900,161150,167900,150.591189,0.00089691
1649188800000,2022-04-05 20:00:00,DOG/USD,166640,166640,160900,164900,129.989021,0.00078829
1649185200000,2022-04-05 19:00:00,DOG/USD,167900,169540,158750,166650,153.811284,0.00092296
1649181600000,2022-04-05 18:00:00,DOG/USD,170320,174130,162520,169470,1055.1168306,0.00622598
1649178000000,2022-04-05 17:00:00,DOG/USD,175040,178800,162700,164220,1445.7501828000002,0.008803740000000001
1649174400000,2022-04-05 16:00:00,DOG/USD,161840,172290,158020,172290,154.2012729,0.00089501
1649170800000,2022-04-05 15:00:00,DOG/USD,165290,165290,156440,164310,808.2622503,0.00491913
1649167200000,2022-04-05 14:00:00,DOG/USD,160460,163030,151490,162790,122.0859884,0.00074996
1649163600000,2022-04-05 13:00:00,DOG/USD,156760,161400,151320,158520,122.0794224,0.00077012
1649160000000,2022-04-05 12:00:00,DOG/USD,152870,157700,148670,151310,800.4193083,0.00528993
1649156400000,2022-04-05 11:00:00,DOG/USD,155030,155040,148130,152870,117.8428969,0.00077087
1649152800000,2022-04-05 10:00:00,DOG/USD,150500,154950,145320,154260,222.58021139999997,0.0014428899999999998
1649149200000,2022-04-05 09:00:00,DOG/USD,151340,153950,148740,148740,302.9417328,0.00203672
1649145600000,2022-04-05 08:00:00,DOG/USD,153920,155050,151120,151330,115.0788985,0.00076045
1649142000000,2022-04-05 07:00:00,DOG/USD,154910,154990,151100,153590,117.0908724,0.00076236
1649138400000,2022-04-05 06:00:00,DOG/USD,154840,156660,151090,153190,653.5774755,0.00426645
1649134800000,2022-04-05 05:00:00,DOG/USD,151050,155870,148850,155410,137.0793905,0.00088205
1649131200000,2022-04-05 04:00:00,DOG/USD,151380,151380,148560,151050,121.652649,0.00080538
1649127600000,2022-04-05 03:00:00,DOG/USD,151730,153940,148120,151400,127.27743799999999,0.00084067
1649124000000,2022-04-05 02:00:00,DOG/USD,151210,151810,147950,148020,96.1582326,0.00064963
1649120400000,2022-04-05 01:00:00,DOG/USD,150330,153480,147350,147880,173.90835879999997,0.00117601
1649116800000,2022-04-05 00:00:00,DOG/USD,149450,150330,147180,149880,135.4255728,0.00090356
1649113200000,2022-04-04 23:00:00,DOG/USD,149580,152620,147170,151240,102.4439264,0.00067736
1649109600000,2022-04-04 22:00:00,DOG/USD,148030,149740,144350,149580,139.85729999999998,0.000935
1649106000000,2022-04-04 21:00:00,DOG/USD,149270,149980,141850,148030,135.2934988,0.00091396
1649102400000,2022-04-04 20:00:00,DOG/USD,146990,148870,140480,147280,110.63084479999999,0.00075116
1649098800000,2022-04-04 19:00:00,DOG/USD,143870,147010,137750,145510,128.9407763,0.0008861300000000001
1649095200000,2022-04-04 18:00:00,DOG/USD,144500,145770,137200,143880,105.456846,0.00073295
